"y" "theta"
3 1.33606925722049
4 1.50164216843995
6 1.61125718704024
7 1.70461884817716
7 1.96642213780938
6 2.23573794678666
13 2.22487554619569
12 2.03675186564783
5 1.7961941357516
10 2.02395168938097
7 2.13410152943608
12 2.21762183140801
9 1.79492055995957
6 1.84410349474245
4 1.53557182358202
7 1.83404415320744
7 2.16230128971577
10 2.09403865480518
7 1.78864985024646
5 1.62424691145162
7 1.70313318682835
4 1.73213480218927
6 1.62666566016186
2 1.50463378392425
2 1.36876149802741
4 1.46938134710291
5 1.47563796614683
4 1.301895160808
3 1.43321288527424
2 1.20096651550216
2 1.27593279662925
6 1.53552842178354
6 1.46079974741765
3 1.51332824078031
7 1.37756335372473
7 1.68617791833993
6 1.701724918383
6 1.87170791198452
1 1.88726742435908
9 1.82316978712793
6 1.75956288117525
5 1.79883151162898
6 2.0412730418386
9 2.14454746046512
12 2.20271806116882
6 2.23760768191779
7 2.36246744233302
15 2.49584592858569
11 2.77222651072343
20 2.90527897104579
11 2.75185801592041
12 2.77383943011166
10 2.75289953556398
14 2.71432123148289
13 2.52444965432811
18 2.6518704123771
15 2.54004459154254
12 2.68164737248325
6 2.48562448287028
12 2.27529397935952
15 2.48330728422628
15 2.30954644953437
9 2.19405790742393
5 2.26073931291626
10 2.23954764150218
13 2.17437217062373
9 2.17002601332434
15 2.47624875225846
7 2.32126910530856
19 2.23247547599279
14 2.38098479576969
10 2.34662638087681
9 2.20778503760454
7 2.03516207576147
7 2.30528113471335
4 1.95459664499085
8 1.97190425894879
6 2.07021902984519
6 2.34819124959234
9 2.5975815798328
9 2.40711669318903
9 2.36492952780042
14 2.07985124631794
7 2.00282971734059
1 1.6422780500487
5 1.83512216613978
3 1.785139825198
4 1.90583996404616
4 1.5862735232078
6 1.31753807695516
3 1.57393548918122
2 1.49290230193963
3 1.84627360568195
4 1.70766066642154
12 1.77590758471965
3 1.74550561218944
9 1.64445502529246
6 1.58162688871999
0 1.69885340803882
5 1.52691402148535
3 1.51838888010133
5 1.67350538910055
3 1.44225557945715
6 1.14000303806905
5 1.08405488097422
1 1.05793971364307
2 0.888958063692992
2 0.972649695896261
3 0.959830533504839
3 0.858659892124578
5 0.894772144903897
0 0.846403002591978
0 0.766378990987522
1 0.86236866170369
3 0.648528687538431
1 0.684028555040929
3 0.583141565286777
0 0.359013763752913
1 0.122541301223672
2 0.192477166202562
3 0.188460993895493
0 0.210773519839786
1 0.216522659646949
4 0.419402122923701
1 0.31061064388931
0 0.111276612705353
0 0.213200706794084
1 0.101354613078935
1 -0.167869815654614
1 0.184944113027235
0 -0.0676557496200856
1 0.0181880904287379
0 0.0379917009873926
1 0.29377878594449
1 0.164075471579805
1 0.230875109689393
1 0.414249763887139
2 0.229244013013166
1 -0.0372635209477575
1 0.0520527496364453
1 -0.0353463800348572
1 0.181200951939814
0 -0.0632757601491503
0 -0.271395941992226
2 -0.424251806570976
2 -0.491969001659431
1 -0.204136982017168
0 -0.161835823753875
1 -0.0246209118299859
3 0.148249694077195
0 0.126544612033078
3 -0.112588739625908
1 -0.119464288209108
1 -0.124091888742794
0 -0.212368352777177
1 -0.402228183118546
2 -0.249455419457484
2 -0.216543163466599
1 -0.331736880454672
0 -0.459638570922323
0 -0.533639945045725
1 -0.600026674270648
0 -0.340115337912528
0 -0.273631145298248
0 -0.0296943996617557
2 0.154729730915478
0 0.219963567302496
1 -0.247677993227708
2 -0.385448219048609
1 -0.377514806323369
0 -0.255592581397769
2 -0.324277010454469
0 -0.470546621396656
2 -0.685783425965714
1 -0.788250929104678
0 -0.645517131675509
0 -0.951153942090934
0 -0.841079720045184
0 -0.719053707534749
0 -0.293039608273528
0 -0.233709775015484
0 -0.186304363251396
1 0.056509101794851
4 -0.0842000598949614
2 0.342483810311007
1 0.259806875440942
2 0.719045840318968
0 0.735905706919437
1 0.717952809602776
2 0.849630615647474
1 0.840052827476738
2 0.814683024288726
2 0.82538898784142
1 0.997371870636199
2 0.855599293682308
1 0.843308283348217
3 0.951569506866762
3 0.842323527843296
1 0.831232569633142
2 0.695286013202676
2 0.792437219483604
2 0.973587871358188
4 0.766406951068252
2 0.775241506847808
4 0.710443365694508
3 0.567492370232363
2 0.657001142997243
1 0.512339254040471
3 0.42752393307361
0 0.353821926319224
1 0.479593184276929
2 0.650823180682128
2 0.785065538203026
1 0.558742632662612
1 0.454750145876335
2 0.451038869345417
3 0.745030849071618
2 0.552101211249452
0 0.573175517481904
0 0.773633910103631
5 0.867977841169296
4 1.10238699730293
4 1.10457721476218
2 1.23145487046962
3 1.13957814365546
3 1.34526511428698
5 1.45550879155876
1 1.40506667274102
5 1.48303210928642
3 1.29449493869064
4 1.44988869612629
3 1.42332633028953
9 1.72323014591155
3 1.48316819197311
7 1.56101009870006
6 1.84306457285855
7 2.11485072445306
10 1.83000535007365
3 1.77594574007884
3 1.72806647159909
3 1.61527758802346
14 1.92450738265705
2 2.01844479517073
12 2.10261226444119
8 2.06249656756547
7 2.02470758410965
2 1.87769377741028
10 2.11973565136268
12 2.40791083345454
5 2.1464850419259
7 2.05130245567924
5 1.79623577909734
7 1.87279469173095
3 1.76990316039899
11 1.931162789288
9 2.15305984327034
9 2.16267046573406
7 2.03154183000078
6 1.85855522043397
7 1.90935196585856
4 2.16514855205388
10 2.18321126825714
4 2.12926997219625
12 2.43838413882859
9 2.47534931606599
10 2.00973122991662
6 1.75797252420527
4 1.56903625448066
6 1.72289106602882
6 1.84781562267653
7 1.92374821673041
14 2.18247823777904
10 2.53233355599187
11 2.71513130321378
23 2.86934553900523
18 2.85910394927576
23 2.97883535253811
11 2.80974284954372
16 2.7084158839472
13 2.65655897270246
10 2.75114889280349
15 2.35759237512202
6 2.23775079459481
14 2.18251902217673
13 2.41535926494366
7 2.450506120016
17 2.81389571591507
10 2.62630159850702
25 2.91154015012678
12 2.68165159800451
9 2.68008297047002
16 2.62949609139055
10 2.37398812135651
13 2.48412326173194
15 2.63139424091822
18 2.70437557685128
14 2.92730287293082
19 2.88510752032221
11 2.61509335316093
4 2.41597196137873
15 2.40349054828309
12 2.29698728092291
11 2.07271966252243
7 1.86672375899746
1 1.5960091551193
8 1.77426155651824
2 1.79137807099387
4 1.81493561650339
7 1.96819513795129
4 1.789930943584
5 1.95872888543228
11 2.10356430832358
5 1.79917048209663
5 1.60362586070216
6 1.31287169971693
2 1.66643751230687
4 1.4815098520319
5 1.74708182349983
4 1.51040281288537
5 1.45262412789782
6 1.30556521153605
9 1.86485645427027
7 1.7225338343494
6 1.61793854767692
4 1.63006251395818
2 1.31752954372229
4 1.03503029446476
3 1.24961444116844
1 1.30259573686299
2 1.29140549184176
1 1.3715143425217
3 1.18159268722873
6 1.50722303400886
9 1.59939041452357
2 1.61394823682644
8 1.85338229173965
6 1.86474015784871
10 1.87886395838724
8 1.90677414898501
7 1.96302607748079
7 2.02582681080597
9 2.15575947304126
10 2.09262244011996
8 1.82839916326743
11 1.96993265768924
8 2.0717280994656
10 2.00430508371125
4 2.0179557836625
9 1.99973542411189
8 2.09343478706501
4 2.13560199576921
6 2.08172335805934
12 2.35712542687241
8 2.23588806268042
12 2.19785226085121
8 1.78854108868206
6 1.78899249506329
4 1.79375879124434
5 1.80303756349151
4 1.78040729089981
6 1.56152879248737
6 1.52879004820507
3 1.71038819167287
8 1.32499393561972
4 1.3245893359792
2 1.12368096786712
3 1.22734613671534
6 1.21390838406112
3 1.24167790344312
3 1.01453961015964
3 0.638641876594497
1 0.615484155765197
3 0.688632192298576
2 0.928974312123799
5 0.814568570186098
3 1.17305575665186
3 1.32268699778588
6 1.27983851565453
3 0.956670077326992
4 0.872065842956107
4 0.91941596622325
0 0.953095479541409
4 0.839712787471822
2 0.850013786057808
4 0.8857978332255
5 0.84303397742119
2 0.734508032226325
3 0.879364466828331
2 0.988625420491208
0 0.715707896649277
2 0.779447200990968
4 1.02696494805359
3 1.12644636449653
3 1.15748661091838
3 1.39870979570842
4 1.49664626924845
3 1.58559376028012
4 1.69265176267701
5 1.8317237856676
6 1.72062373869954
3 1.83569960672584
5 1.84755487294106
5 1.32483359948363
2 1.13321243874299
5 1.21328401584474
2 1.59903202902807
5 1.40754066499843
5 1.60608796841424
3 1.34624207973034
3 1.26840793474709
4 1.04502822711591
2 1.05241299810381
3 1.27011561487678
6 1.39573956279558
6 1.66612967976942
8 1.53249758341693
2 1.56899153568874
4 1.44917713835361
6 1.57356197791558
7 1.5987122452187
5 1.38780050694627
5 1.40808386811209
4 1.19126168767341
2 0.898322471577889
2 0.940647629795816
