"y" "theta1"
3 0.0314107590781283
3 0.0627905195293134
0 0.0941083133185143
2 0.125333233564304
1 0.156434465040231
1 0.187381314585725
2 0.218143241396543
0 0.248689887164855
2 0.278991106039229
2 0.309016994374947
1 0.338737920245291
2 0.368124552684678
3 0.397147890634781
1 0.425779291565073
1 0.453990499739547
4 0.481753674101715
5 0.509041415750371
0 0.535826794978997
1 0.562083377852131
2 0.587785252292473
4 0.612907053652976
0 0.63742398974869
6 0.661311865323652
4 0.684547105928689
0 0.707106781186547
2 0.728968627421412
2 0.750111069630459
4 0.770513242775789
2 0.79015501237569
4 0.809016994374947
3 0.827080574274562
4 0.844327925502015
2 0.860742027003944
3 0.876306680043864
0 0.891006524188368
4 0.90482705246602
0 0.917754625683981
1 0.929776485888251
5 0.940880768954225
3 0.951056516295154
2 0.960293685676943
2 0.968583161128631
0 0.975916761938747
6 0.982287250728689
2 0.987688340595138
6 0.992114701314478
5 0.99556196460308
3 0.998026728428272
6 0.999506560365732
3 1
2 0.999506560365732
2 0.998026728428272
2 0.99556196460308
4 0.992114701314478
0 0.987688340595138
4 0.982287250728689
3 0.975916761938747
1 0.968583161128631
1 0.960293685676943
2 0.951056516295154
3 0.940880768954225
6 0.929776485888251
4 0.917754625683981
3 0.904827052466019
4 0.891006524188368
1 0.876306680043863
1 0.860742027003944
4 0.844327925502015
3 0.827080574274562
1 0.809016994374947
0 0.79015501237569
1 0.770513242775789
1 0.75011106963046
2 0.728968627421411
1 0.707106781186548
3 0.684547105928689
0 0.661311865323652
1 0.63742398974869
2 0.612907053652976
0 0.587785252292473
2 0.562083377852131
0 0.535826794978997
1 0.509041415750371
2 0.481753674101715
2 0.453990499739547
2 0.425779291565073
1 0.397147890634781
0 0.368124552684678
0 0.338737920245291
1 0.309016994374948
2 0.27899110603923
0 0.248689887164855
0 0.218143241396543
3 0.187381314585725
3 0.156434465040231
2 0.125333233564305
0 0.0941083133185144
1 0.0627905195293136
2 0.0314107590781282
1 1.22460635382238e-16
1 -0.031410759078128
0 -0.0627905195293133
0 -0.0941083133185141
0 -0.125333233564304
2 -0.156434465040231
3 -0.187381314585725
1 -0.218143241396543
1 -0.248689887164855
1 -0.278991106039229
0 -0.309016994374947
1 -0.338737920245291
1 -0.368124552684678
1 -0.39714789063478
0 -0.425779291565072
1 -0.453990499739547
0 -0.481753674101715
0 -0.509041415750371
0 -0.535826794978996
1 -0.56208337785213
1 -0.587785252292473
0 -0.612907053652977
0 -0.63742398974869
0 -0.661311865323652
0 -0.684547105928688
1 -0.707106781186547
0 -0.728968627421412
2 -0.750111069630459
2 -0.770513242775789
0 -0.79015501237569
1 -0.809016994374947
1 -0.827080574274562
0 -0.844327925502015
0 -0.860742027003944
2 -0.876306680043864
1 -0.891006524188368
0 -0.90482705246602
1 -0.917754625683981
0 -0.929776485888251
1 -0.940880768954225
0 -0.951056516295154
0 -0.960293685676943
0 -0.968583161128631
0 -0.975916761938747
1 -0.982287250728689
1 -0.987688340595138
1 -0.992114701314478
0 -0.99556196460308
1 -0.998026728428272
0 -0.999506560365732
0 -1
1 -0.999506560365732
0 -0.998026728428272
1 -0.99556196460308
0 -0.992114701314478
0 -0.987688340595138
1 -0.982287250728689
0 -0.975916761938748
0 -0.968583161128631
0 -0.960293685676943
1 -0.951056516295154
1 -0.940880768954226
0 -0.929776485888252
0 -0.917754625683981
0 -0.90482705246602
0 -0.891006524188368
0 -0.876306680043863
0 -0.860742027003943
0 -0.844327925502015
0 -0.827080574274562
0 -0.809016994374948
1 -0.790155012375691
0 -0.77051324277579
0 -0.75011106963046
0 -0.728968627421412
0 -0.707106781186548
0 -0.684547105928689
1 -0.661311865323652
1 -0.63742398974869
1 -0.612907053652976
1 -0.587785252292473
2 -0.562083377852131
1 -0.535826794978997
0 -0.509041415750372
0 -0.481753674101716
1 -0.453990499739547
1 -0.425779291565073
2 -0.39714789063478
1 -0.368124552684678
0 -0.338737920245291
0 -0.309016994374948
0 -0.27899110603923
1 -0.248689887164855
0 -0.218143241396543
0 -0.187381314585725
0 -0.156434465040231
0 -0.125333233564305
1 -0.0941083133185149
0 -0.0627905195293133
1 -0.0314107590781284
1 -2.44921270764475e-16
